nm       L7               L4      L5
730     0.0000          0.0024  0.0023
735     0.0000          0.0048  0.0046
740     0.0004          0.0072  0.0070
745     0.0037          0.0097  0.0093
750     0.0010          0.0195  0.0186
751     0.0144          0.0224  0.0214
752     0.0182          0.0254  0.0242
753     0.0216          0.0283  0.0270
754     0.0269          0.0313  0.0298
755     0.0315          0.0343  0.0326
756     0.0377          0.0422  0.0402
757     0.0474          0.0503  0.0478
758     0.0562          0.0583  0.0554
759     0.0688          0.0663  0.0630
760     0.0690          0.0744  0.0706
761     0.0830          0.0825  0.0784
762     0.0990          0.0905  0.0862
763     0.1210          0.0987  0.0940
764     0.1460          0.1207  0.1152
765     0.1750          0.1428  0.1364
766     0.2090          0.1649  0.1577
767     0.2480          0.1871  0.1791
768     0.2940          0.2158  0.2069
769     0.3460          0.2511  0.2409
770     0.4020          0.2864  0.2752
771     0.4630          0.3219  0.3095
772     0.5230          0.3573  0.3440
773     0.5880          0.3929  0.3786
774     0.6490          0.4285  0.4133
775     0.7050          0.4642  0.4482
776     0.7570          0.5000  0.4833
777     0.7970          0.5436  0.5259
778     0.8270          0.5868  0.5683
779     0.8530          0.6301  0.6108
780     0.8710          0.6733  0.6534
781     0.8840          0.7166  0.6963
782     0.8920          0.7599  0.7393
783     0.8990          0.7950  0.7745
784     0.9030          0.8218  0.8017
785     0.9080          0.8487  0.8290
786     0.9110          0.8756  0.8564
787     0.9160          0.9025  0.8838
788     0.9200          0.9170  0.8992
789     0.9250          0.9315  0.9146
790     0.9260          0.9460  0.9300
791     0.9270          0.9564  0.9418
792     0.9270          0.9629  0.9499
793     0.9290          0.9695  0.9580
794     0.9320          0.9760  0.9661
795     0.9300          0.9826  0.9743
796     0.9260          0.9861  0.9794
797     0.9260          0.9896  0.9845
798     0.9250          0.9930  0.9897
799     0.9280          0.9965  0.9948
800     0.9250          1.0000  1.0000
801     0.9260          0.9973  0.9982
802     0.9280          0.9945  0.9964
803     0.9280          0.9918  0.9946
804     0.9280          0.9891  0.9928
805     0.9230          0.9863  0.9910
806     0.9200          0.9833  0.9889
807     0.9190          0.9803  0.9868
808     0.9140          0.9772  0.9846
