nm        L7              L4      L5
580     0.0000          0.0021  0.0018
590     0.0000          0.0023  0.0020
600     0.0000          0.0089  0.0079
605     0.0000          0.0231  0.0205
610     0.0000          0.0415  0.0375
611     0.0000          0.0453  0.0409
612     0.0000          0.0616  0.0555
613     0.0000          0.0811  0.0730
614     0.0005          0.1007  0.0906
615     0.0001          0.1204  0.1082
616     0.0000          0.1402  0.1262
617     0.0005          0.1602  0.1444
618     0.0006          0.1803  0.1626
619     0.0014          0.2402  0.2169
620     0.0020          0.3271  0.2958
621     0.0030          0.4145  0.3759
622     0.0060          0.4491  0.4086
623     0.0130          0.4706  0.4293
624     0.0250          0.4921  0.4503
625     0.0470          0.5138  0.4715
626     0.0830          0.5354  0.4923
627     0.1370          0.5572  0.5132
628     0.2110          0.5790  0.5343
629     0.3060          0.6010  0.5555
630     0.4190          0.6235  0.5774
631     0.5450          0.6504  0.6031
632     0.6740          0.6866  0.6374
633     0.7880          0.7366  0.6848
634     0.8730          0.7869  0.7325
635     0.9210          0.8027  0.7482
636     0.9410          0.8185  0.7642
637     0.9430          0.8345  0.7802
638     0.9420          0.8485  0.7947
639     0.9390          0.8598  0.8065
640     0.9370          0.8711  0.8184
641     0.9350          0.8826  0.8304
642     0.9350          0.8941  0.8424
643     0.9380          0.9056  0.8545
644     0.9430          0.9116  0.8614
645     0.9490          0.9170  0.8678
646     0.9530          0.9224  0.8743
647     0.9610          0.9278  0.8809
648     0.9680          0.9332  0.8875
649     0.9710          0.9386  0.8971
650     0.9730          0.9441  0.9008
651     0.9740          0.9433  0.9017
652     0.9720          0.9424  0.9026
653     0.9690          0.9415  0.9035
654     0.9630          0.9406  0.9044
655     0.9580          0.9397  0.9052
656     0.9560          0.9388  0.9055
657     0.9550          0.9379  0.9058
658     0.9550          0.9370  0.9060
659     0.9560          0.9360  0.9062
660     0.9620          0.9351  0.9064
661     0.9690          0.9372  0.9104
662     0.9770          0.9394  0.9143
663     0.9830          0.9429  0.9195
664     0.9880          0.9483  0.9266
665     0.9930          0.9537  0.9338
666     0.9960          0.9591  0.9412
667     0.9970          0.9646  0.9488
668     0.9990          0.9700  0.9563
669     1.0000          0.9755  0.9640
670     1.0000          0.9793  0.9699
671     0.9980          0.9831  0.9749
672     0.9960          0.9869  0.9799
673     0.9950          0.9904  0.9847
674     0.9930          0.9969  0.9895
675     0.9920          0.9964  0.9932
676     0.9910          0.9982  0.9966
677     0.9890          1.0000  1.0000
678     0.9880          0.9977  0.9995
679     0.9840          0.9957  0.9989
680     0.9770          0.9936  0.9983
681     0.9700          0.9725  0.9784
682     0.9600          0.9734  0.9806
683     0.9490          0.9742  0.9827
684     0.9400          0.9635  0.9732
685     0.9320          0.9451  0.9558
686     0.9190          0.9265  0.9384
687     0.8980          0.9078  0.9209
688     0.8630          0.8710  0.8850
689     0.8090          0.8220  0.8364
690     0.7290          0.7727  0.7874
691     0.6250          0.6869  0.7000
692     0.5060          0.5940  0.6052
693     0.3820          0.5049  0.5144
694     0.2720          0.4333  0.4413
695     0.1830          0.3612  0.3678
696     0.1200          0.2888  0.2942
697     0.0790          0.2235  0.2277
698     0.0530          0.1879  0.1916
699     0.0360          0.1522  0.1552
700     0.0250          0.1162  0.1186
701     0.0196          0.1056  0.1079
702     0.0142          0.0950  0.0972
703     0.0101          0.0844  0.0864
704     0.0075          0.0737  0.0756
705     0.0000          0.0629  0.0646
710     0.0000          0.0450  0.0464
715     0.0000          0.0300  0.0309
720     0.0000          0.0195  0.0200
725     0.0000          0.0121  0.0123
730     0.0000          0.0061  0.0062
740     0.0000          0.0031  0.0031
