nm        L7              L4      L5
1501    -0.002          0.0000  0.0001
1503    -0.005          0.0002  0.0002
1504    0.0060          0.0002  0.0003
1506    -0.003          0.0004  0.0005
1508    0.0010          0.0006  0.0006
1510    0.0010          0.0008  0.0008
1512    0.0130          0.0010  0.0010
1514    0.0060          0.0011  0.0012
1515    0.0120          0.0012  0.0013
1517    0.0030          0.0014  0.0014
1519    0.0150          0.0016  0.0016
1521    0.0120          0.0022  0.0024
1523    0.0240          0.0036  0.0039
1525    0.0400          0.0051  0.0054
1526    0.0410          0.0059  0.0061
1528    0.0570          0.0074  0.0077
1530    0.0760          0.0090  0.0093
1532    0.0970          0.0116  0.0116
1534    0.1200          0.0146  0.0140
1536    0.1760          0.0176  0.0165
1538    0.2150          0.0207  0.0190
1540    0.2740          0.0238  0.0216
1542    0.3390          0.0327  0.0351
1543    0.3930          0.0378  0.0419
1545    0.4620          0.0479  0.0557
1547    0.4990          0.0667  0.0696
1549    0.5580          0.0873  0.0837
1551    0.5980          0.1138  0.1104
1553    0.6340          0.1513  0.1497
1555    0.6670          0.1893  0.1894
1557    0.7040          0.2278  0.2295
1559    0.7240          0.2669  0.2701
1561    0.7500          0.3120  0.3179
1563    0.7780          0.3680  0.3732
1565    0.8080          0.4248  0.4294
1567    0.8250          0.4826  0.4865
1569    0.8510          0.5412  0.5446
1571    0.8670          0.5980  0.5989
1572    0.8720          0.6252  0.6239
1574    0.8840          0.6801  0.6746
1576    0.9020          0.7319  0.7260
1578    0.9010          0.7775  0.7781
1580    0.8960          0.8236  0.8308
1582    0.8970          0.8578  0.8553
1584    0.8900          0.8903  0.8800
1586    0.8990          0.9165  0.9050
1588    0.8840          0.9302  0.9301
1590    0.8760          0.9287  0.9555
1592    0.8670          0.9468  0.9526
1594    0.8730          0.9429  0.9497
1596    0.8720          0.9368  0.9467
1598    0.8790          0.9327  0.9438
1600    0.8740          0.9325  0.9409
1602    0.8610          0.9290  0.9415
1604    0.8590          0.9284  0.9421
1606    0.8770          0.9282  0.9428
1608    0.8790          0.9280  0.9434
1610    0.8990          0.9396  0.9440
1613    0.8930          0.9493  0.9519
1615    0.9000          0.9550  0.9572
1617    0.8970          0.9606  0.9625
1619    0.9170          0.9662  0.9677
1621    0.9210          0.9719  0.9718
1623    0.9260          0.9775  0.9747
1625    0.9290          0.9831  0.9777
1627    0.9450          0.9877  0.9806
1629    0.9470          0.9888  0.9835
1631    0.9480          0.9871  0.9842
1633    0.9550          0.9848  0.9827
1635    0.9520          0.9825  0.9813
1637    0.9690          0.9802  0.9798
1639    0.9600          0.9778  0.9783
1641    0.9620          0.9758  0.9763
1643    0.9590          0.9740  0.9737
1645    0.9780          0.9721  0.9711
1647    0.9600          0.9703  0.9686
1649    0.9550          0.9685  0.9660
1651    0.9520          0.9672  0.9661
1653    0.9510          0.9679  0.9687
1656    0.9520          0.9732  0.9727
1658    0.9560          0.9768  0.9753
1660    0.9440          0.9803  0.9780
1662    0.9350          0.9833  0.9790
1664    0.9330          0.9861  0.9800
1666    0.9280          0.9875  0.9810
1668    0.9420          0.9859  0.9820
1670    0.9480          0.9844  0.9830
1672    0.9420          0.9834  0.9837
1674    0.9330          0.9824  0.9844
1676    0.9440          0.9813  0.9850
1678    0.9480          0.9803  0.9857
1680    0.9450          0.9793  0.9864
1682    0.9430          0.9783  0.9844
1684    0.9510          0.9772  0.9825
1687    0.9640          0.9597  0.9796
1689    0.9670          0.9746  0.9776
1691    0.9710          0.9751  0.9784
1693    0.9740          0.9784  0.9820
1695    0.9910          0.9816  0.9857
1697    0.9950          0.9849  0.9893
