nm        L7              L4      L5
1699    0.9990          0.9882  0.9926
1701    0.9960          0.9905  0.9953
1703    0.9940          0.9918  0.9963
1705    1.0000          0.9932  0.9974
1707    0.9940          0.9946  0.9985
1709    0.9830          0.9961  0.9995
1711    0.9900          0.9978  0.9997
1714    0.9870          0.9995  0.9988
1716    0.9920          0.9991  0.9981
1718    0.9860          0.9962  0.9975
1720    0.9810          0.9932  0.9968
1722    0.9830          0.9896  0.9922
1724    0.9760          0.9859  0.9877
1725    0.9780          0.9740  0.9854
1726    0.9700          0.9821  0.9831
1728    0.9680          0.9784  0.9785
1730    0.9600          0.9746  0.9740
1732    0.9440          0.9709  0.9706
1734    0.9210          0.9671  0.9671
1736    0.8830          0.9634  0.9637
1738    0.8450          0.9597  0.9603
1740    0.7910          0.9559  0.9569
1742    0.7110          0.9541  0.9555
1744    0.6380          0.9526  0.9542
1747    0.5470          0.9504  0.9523
1749    0.4620          0.9489  0.9509
1751    0.3930          0.9505  0.9505
1753    0.3250          0.9572  0.9508
1755    0.2670          0.9638  0.9512
1757    0.2120          0.9635  0.9516
1759    0.1750          0.9614  0.9519
1761    0.1420          0.9570  0.9460
1763    0.1110          0.9483  0.9339
1765    0.0840          0.9397  0.9219
1767    0.0770          0.9197  0.9098
1769    0.0580          0.8978  0.8915
1771    0.0490          0.8679  0.8651
1773    0.0420          0.8235  0.8124
1775    0.0390          0.7790  0.7597
1777    0.0340          0.7234  0.7069
1779    0.0200          0.6658  0.6542
1781    0.0210          0.6072  0.5968
1783    0.0220          0.5466  0.5350
1785    0.0110          0.4860  0.4732
1787    0.0120          0.4245  0.4114
1789    0.0040          0.3647  0.3497
1791    0.0080          0.3134  0.3026
1793    0.0000          0.2792  0.2698
1795    0.0000          0.2450  0.2369
1797    0.0000          0.2108  0.2040
1799    0.0000          0.1767  0.1710
1801    0.0000          0.1488  0.1462
1803    0.0000          0.1327  0.1294
1805    0.0000          0.1167  0.1127
1807    0.0000          0.1007  0.0960
1809    0.0000          0.0847  0.0794
1811    0.0000          0.0723  0.0684
1813    0.0000          0.0661  0.0629
1815    0.0000          0.0599  0.0574
1820    0.0000          0.0446  0.0463
1825    0.0000          0.0333  0.0326
1830    0.0000          0.0224  0.0217
1840    0.0000          0.0164  0.0129
1850    0.0000          0.0109  0.0086
1860    0.0000          0.0073  0.0043
1870    0.0000          0.0037  0.0032
1880    0.0000          0.0001  0.0021
